,Hospital,Address,Coordinates
136,枋寮鄉安樂村,"940, Taiwan, 屏東縣枋寮鄉安樂村","(22.3620613, 120.5976951)"
137,枋寮鄉天時村,"940, Taiwan, 屏東縣枋寮鄉天時村","(22.3957504, 120.5998528)"
138,枋寮鄉地利村,"940, Taiwan, 屏東縣枋寮鄉地利村","(22.3890748, 120.586906)"
139,枋寮鄉人和村,"940, Taiwan, 屏東縣枋寮鄉人和村","(22.3796854, 120.5998528)"
140,新園鄉仙吉村,"932, Taiwan, 屏東縣新園鄉仙吉村","(22.5423999, 120.461686)"
141,崁頂鄉崁頂村,"924, Taiwan, 屏東縣崁頂鄉崁頂村","(22.5167221, 120.5077582)"
142,林邊鄉中林村,"927, Taiwan, 屏東縣林邊鄉中林村","(22.4348066, 120.5167547)"
143,南州鄉溪南村,"926, Taiwan, 屏東縣南州鄉溪南村","(22.4862093, 120.5063187)"
144,南州鄉米崙村,"926, Taiwan, 屏東縣南州鄉米崙村","(22.4821718, 120.5192737)"
145,佳冬鄉六根村,"931, Taiwan, 屏東縣佳冬鄉六根村","(22.4238005, 120.5423015)"
146,佳冬鄉萬建村,"931, Taiwan, 屏東縣佳冬鄉萬建村","(22.4245238, 120.5581307)"
147,車城鄉統埔村,"944, Taiwan, 屏東縣車城鄉統埔村","(22.0751014, 120.7263732)"
148,霧臺鄉吉露村,"902, Taiwan, 屏東縣霧台鄉吉露村","(22.7455449, 120.7436161)"
149,泰武鄉平和村,"921, Taiwan, 屏東縣泰武鄉平和村","(22.5619482, 120.6372471)"
150,臺東市卑南里,"950, Taiwan, 台東縣台東市卑南里","(22.781066, 121.1209165)"
151,臺東市新生里,"950, Taiwan, 台東縣台東市新生里","(22.7718158, 121.1452643)"
152,臺東市民生里,"950, Taiwan, 台東縣台東市民生里","(22.7615554, 121.1495604)"
153,臺東市寶桑里,"950, Taiwan, 台東縣台東市寶桑里","(22.7683202, 121.1552884)"
154,臺東市馬蘭里,"950, Taiwan, 台東縣台東市馬蘭里","(22.7646429, 121.1352393)"
155,臺東市中心里,"950, Taiwan, 台東縣台東市中心里","(22.760846, 121.1373876)"
156,臺東市自強里,"950, Taiwan, 台東縣台東市自強里","(22.7588952, 121.1402519)"
157,臺東市民族里,"950, Taiwan, 台東縣台東市民族里","(22.7576604, 121.1459803)"
158,臺東市四維里,"950, Taiwan, 台東縣台東市四維里","(22.7645235, 121.1574363)"
159,臺東市中華里,"950, Taiwan, 台東縣台東市中華里","(22.7617513, 121.1610161)"
160,臺東市強國里,"950, Taiwan, 台東縣台東市強國里","(22.7561131, 121.1577943)"
161,臺東市民權里,"950, Taiwan, 台東縣台東市民權里","(22.7586816, 121.1520664)"
162,臺東市仁愛里,"950, Taiwan, 台東縣台東市仁愛里","(22.7573973, 121.1549304)"
163,臺東市中正里,"950, Taiwan, 台東縣台東市中正里","(22.7547833, 121.1531404)"
164,臺東市大同里,"950, Taiwan, 台東縣台東市大同里","(22.7533973, 121.1549304)"
165,臺東市文化里,"950, Taiwan, 台東縣台東市文化里","(22.7557095, 121.1488444)"
166,臺東市中山里,"950, Taiwan, 台東縣台東市中山里","(22.7535025, 121.1513504)"
167,臺東市興國里,"950, Taiwan, 台東縣台東市興國里","(22.7523235, 121.1506344)"
168,臺東市鐵花里,"950, Taiwan, 台東縣台東市鐵花里","(22.7517093, 121.1488444)"
169,臺東市豐年里,"950, Taiwan, 台東縣台東市豐年里","(22.7685553, 121.1108895)"
170,臺東市光明里,"950, Taiwan, 台東縣台東市光明里","(22.7691621, 121.1266458)"
171,臺東市豐樂里,"950, Taiwan, 台東縣台東市豐樂里","(22.7595182, 121.1280781)"
172,臺東市永樂里,"950, Taiwan, 台東縣台東市永樂里","(22.7459818, 121.1166193)"
173,臺東市康樂里,"950, Taiwan, 台東縣台東市康樂里","(22.744758, 121.0851019)"
174,臺東市東海里,"950, Taiwan, 台東縣台東市東海里","(22.7521229, 121.1438322)"
175,成功鎮忠智里,"961, Taiwan, 台東縣成功鎮忠智里","(23.1035482, 121.3806067)"
176,關山鎮中福里,"956, Taiwan, 台東縣關山鎮中福里","(23.0485978, 121.1631639)"
177,卑南鄉美農村,"954, Taiwan, 台東縣卑南鄉美農村","(22.8383353, 121.0965637)"
178,花蓮市民享里,"970, Taiwan, 花蓮縣花蓮市民享里","(24.0027419, 121.6240313)"
179,花蓮市國華里,"970, Taiwan, 花蓮縣花蓮市國華里","(23.9815798, 121.6033497)"
180,花蓮市國裕里,"970, Taiwan, 花蓮縣花蓮市國裕里","(23.9953356, 121.598357)"
181,鳳林鎮大榮里,"975, Taiwan, 花蓮縣鳳林鎮大榮里","(23.7458367, 121.4741827)"
182,吉安鄉慶豐村,"973, Taiwan, 花蓮縣吉安鄉慶豐村","(23.9812541, 121.5669693)"
183,吉安鄉永興村,"973, Taiwan, 花蓮縣吉安鄉永興村","(23.9463666, 121.5626885)"
184,吉安鄉稻香村,"973, Taiwan, 花蓮縣吉安鄉稻香村","(23.9597034, 121.5741036)"
185,吉安鄉南昌村,"973, Taiwan, 花蓮縣吉安鄉南昌村","(23.9680241, 121.578384)"
186,吉安鄉仁和村,"973, Taiwan, 花蓮縣吉安鄉仁和村","(23.9517874, 121.5855176)"
187,壽豐鄉豐裡村,"974, Taiwan, 花蓮縣壽豐鄉豐裡村","(23.8437102, 121.499885)"
188,壽豐鄉共和村,"974, Taiwan, 花蓮縣壽豐鄉共和村","(23.8691295, 121.5284363)"
189,壽豐鄉壽豐村,"974, Taiwan, 花蓮縣壽豐鄉壽豐村","(23.8702918, 121.499885)"
190,壽豐鄉光榮村,"974, Taiwan, 花蓮縣壽豐鄉光榮村","(23.8836486, 121.5113064)"
191,瑞穗鄉瑞美村,"978, Taiwan, 花蓮縣瑞穗鄉瑞美村","(23.4917108, 121.3856088)"
192,清水區靈泉里,"436, Taiwan, 台中市清水區靈泉里","(24.2661966, 120.5764757)"
