,Hospital,Address,Coordinates
3080,二水鄉倡和村,"530, Taiwan, 彰化縣二水鄉倡和村","(23.8061209, 120.6631289)"
3081,二水鄉復興村,"530, Taiwan, 彰化縣二水鄉復興村","(23.8334998, 120.6113599)"
3082,二水鄉十五村,"530, Taiwan, 彰化縣二水鄉十五村","(23.8257074, 120.604168)"
3083,北斗鎮光復里,"521, Taiwan, 彰化縣北斗鎮光復里","(23.8796361, 120.5257506)"
3084,北斗鎮新政里,"521, Taiwan, 彰化縣北斗鎮新政里","(23.8735715, 120.522872)"
3085,北斗鎮重慶里,"521, Taiwan, 彰化縣北斗鎮重慶里","(23.8696549, 120.5239515)"
3086,北斗鎮五權里,"521, Taiwan, 彰化縣北斗鎮五權里","(23.8667629, 120.5264703)"
3087,北斗鎮七星里,"521, Taiwan, 彰化縣北斗鎮七星里","(23.8564511, 120.5307881)"
3088,北斗鎮居仁里,"521, Taiwan, 彰化縣北斗鎮居仁里","(23.874381, 120.5268301)"
3089,北斗鎮東光里,"521, Taiwan, 彰化縣北斗鎮東光里","(23.8722809, 120.5379841)"
3090,北斗鎮文昌里,"521, Taiwan, 彰化縣北斗鎮文昌里","(23.8782631, 120.5351057)"
3091,北斗鎮中和里,"521, Taiwan, 彰化縣北斗鎮中和里","(23.871024, 120.5437406)"
3092,北斗鎮西德里,"521, Taiwan, 彰化縣北斗鎮西德里","(23.8659696, 120.5178343)"
3093,北斗鎮西安里,"521, Taiwan, 彰化縣北斗鎮西安里","(23.873803, 120.5156752)"
3094,北斗鎮中寮里,"521, Taiwan, 彰化縣北斗鎮中寮里","(23.8775379, 120.5077582)"
3095,北斗鎮大道里,"521, Taiwan, 彰化縣北斗鎮大道里","(23.8869912, 120.5135161)"
3096,北斗鎮新生里,"521, Taiwan, 彰化縣北斗鎮新生里","(23.8526826, 120.5480578)"
3097,北斗鎮大新里,"521, Taiwan, 彰化縣北斗鎮大新里","(23.8555224, 120.5595696)"
3098,二林鎮東和里,"526, Taiwan, 彰化縣二林鎮東和里","(23.900098, 120.3702125)"
3099,二林鎮南光里,"526, Taiwan, 彰化縣二林鎮南光里","(23.8915444, 120.369492)"
3100,二林鎮西平里,"Erlin Township, Changhua County, Taiwan 526","(23.9141358, 120.4011911)"
3101,二林鎮北平里,"526, Taiwan, 彰化縣二林鎮北平里","(23.9129844, 120.369492)"
3102,二林鎮中西里,"Erlin Township, Changhua County, Taiwan 526","(23.9141358, 120.4011911)"
3103,二林鎮廣興里,"526, Taiwan, 彰化縣二林鎮廣興里","(23.8639377, 120.3608455)"
3104,埔鹽鄉角樹村,"516, Taiwan, 彰化縣埔鹽鄉角樹村","(23.986435, 120.4688858)"
3105,埔鹽鄉瓦磘村,"516, Taiwan, 彰化縣埔鹽鄉瓦磘村","(24.0082515, 120.4732056)"
3106,埔鹽鄉好修村,"516, Taiwan, 彰化縣埔鹽鄉好修村","(24.0000587, 120.461686)"
3107,埔鹽鄉西湖村,"516, Taiwan, 彰化縣埔鹽鄉西湖村","(24.002576, 120.4501653)"
3108,埔鹽鄉大有村,"516, Taiwan, 彰化縣埔鹽鄉大有村","(24.0132884, 120.4501653)"
3109,埔鹽鄉新興村,"516, Taiwan, 彰化縣埔鹽鄉新興村","(24.020101, 120.4465649)"
3110,埔鹽鄉永平村,"516, Taiwan, 彰化縣埔鹽鄉永平村","(24.0158057, 120.4386437)"
3111,壽豐鄉池南村,"974, Taiwan, 花蓮縣壽豐鄉池南村","(23.9155424, 121.5113064)"
3112,壽豐鄉平和村,"974, Taiwan, 花蓮縣壽豐鄉平和村","(23.8864979, 121.5455637)"
3113,壽豐鄉志學村,"974, Taiwan, 花蓮縣壽豐鄉志學村","(23.9110614, 121.5427093)"
3114,壽豐鄉米棧村,"974, Taiwan, 花蓮縣壽豐鄉米棧村","(23.8073566, 121.531291)"
3115,壽豐鄉月眉村,"974, Taiwan, 花蓮縣壽豐鄉月眉村","(23.8553238, 121.5541264)"
3116,壽豐鄉水璉村,"974, Taiwan, 花蓮縣壽豐鄉水璉村","(23.7662711, 121.548418)"
3117,壽豐鄉鹽寮村,"974, Taiwan, 花蓮縣壽豐鄉鹽寮村","(23.8687925, 121.5883709)"
3118,光復鄉大興村,"976, Taiwan, 花蓮縣光復鄉大興村","(23.6361526, 121.3941835)"
3119,光復鄉大富村,"976, Taiwan, 花蓮縣光復鄉大富村","(23.601662, 121.4056153)"
3120,光復鄉大豐村,"976, Taiwan, 花蓮縣光復鄉大豐村","(23.6067818, 121.3827505)"
3121,豐濱鄉豐濱村,"977, Taiwan, 花蓮縣豐濱鄉豐濱村","(23.5903224, 121.4798948)"
3122,豐濱鄉新社村,"977, Taiwan, 花蓮縣豐濱鄉新社村","(23.6504572, 121.5198716)"
3123,豐濱鄉磯崎村,"977, Taiwan, 花蓮縣豐濱鄉磯崎村","(23.7090957, 121.5427093)"
3124,豐濱鄉港口村,"977, Taiwan, 花蓮縣豐濱鄉港口村","(23.485431, 121.4970294)"
3125,埔鹽鄉永樂村,"516, Taiwan, 彰化縣埔鹽鄉永樂村","(24.0009935, 120.4328824)"
3126,埔鹽鄉石埤村,"516, Taiwan, 彰化縣埔鹽鄉石埤村","(23.9917685, 120.4199187)"
3127,埔鹽鄉天盛村,"516, Taiwan, 彰化縣埔鹽鄉天盛村","(23.9791688, 120.4285613)"
3128,埔鹽鄉太平村,"516, Taiwan, 彰化縣埔鹽鄉太平村","(23.9772836, 120.4372034)"
3129,埔鹽鄉新水村,"516, Taiwan, 彰化縣埔鹽鄉新水村","(23.9894183, 120.4429644)"
3130,埔鹽鄉三省村,"516, Taiwan, 彰化縣埔鹽鄉三省村","(23.9757942, 120.4501653)"
3131,埔鹽鄉南新村,"516, Taiwan, 彰化縣埔鹽鄉南新村","(23.9786351, 120.461686)"
3132,埔心鄉東門村,"513, Taiwan, 彰化縣埔心鄉東門村","(23.9480165, 120.5466187)"
3133,埔心鄉埔心村,"513, Taiwan, 彰化縣埔心鄉埔心村","(23.9532131, 120.5351057)"
3134,埔心鄉義民村,"513, Taiwan, 彰化縣埔心鄉義民村","(23.9560458, 120.5466187)"
3135,埔心鄉油車村,"513, Taiwan, 彰化縣埔心鄉油車村","(23.9653358, 120.5408624)"
3136,埔心鄉瓦北村,"513, Taiwan, 彰化縣埔心鄉瓦北村","(23.9574616, 120.5523748)"
3137,彰化市信義里,"500, Taiwan, 彰化縣彰化市信義里","(24.0829051, 120.5424814)"
3138,彰化市龍山里,"500, Taiwan, 彰化縣彰化市龍山里","(24.0810735, 120.5530943)"
3139,彰化市中山里,"500, Taiwan, 彰化縣彰化市中山里","(24.0810011, 120.5473382)"
3140,彰化市中正里,"500, Taiwan, 彰化縣彰化市中正里","(24.0829109, 120.546259)"
3141,彰化市永福里,"500, Taiwan, 彰化縣彰化市永福里","(24.0793714, 120.5441003)"
3142,彰化市光復里,"500, Taiwan, 彰化縣彰化市光復里","(24.0816948, 120.5426612)"
3143,彰化市光華里,"500, Taiwan, 彰化縣彰化市光華里","(24.0795904, 120.5415819)"
3144,彰化市萬壽里,"500, Taiwan, 彰化縣彰化市萬壽里","(24.0782766, 120.5369047)"
3145,彰化市中央里,"500, Taiwan, 彰化縣彰化市中央里","(24.0783132, 120.539783)"
3146,彰化市富貴里,"500, Taiwan, 彰化縣彰化市富貴里","(24.0762695, 120.5369047)"
3147,彰化市民權里,"500, Taiwan, 彰化縣彰化市民權里","(24.0751261, 120.5390634)"
3148,彰化市西興里,"500, Taiwan, 彰化縣彰化市西興里","(24.0774736, 120.5329469)"
3149,彰化市西勢里,"500, Taiwan, 彰化縣彰化市西勢里","(24.0829476, 120.5293488)"
3150,彰化市長樂里,"500, Taiwan, 彰化縣彰化市長樂里","(24.0811475, 120.5390634)"
3151,彰化市東芳里,"500, Taiwan, 彰化縣彰化市東芳里","(24.0680044, 120.5120766)"
3152,彰化市南安里,"500, Taiwan, 彰化縣彰化市南安里","(24.057929, 120.5091977)"
3153,彰化市南美里,"500, Taiwan, 彰化縣彰化市南美里","(24.0541392, 120.5264703)"
3154,彰化市莿桐里,"500, Taiwan, 彰化縣彰化市莿桐里","(24.0587109, 120.5178343)"
3155,彰化市平和里,"500, Taiwan, 彰化縣彰化市平和里","(24.07083, 120.5235917)"
3156,彰化市桃源里,"500, Taiwan, 彰化縣彰化市桃源里","(24.0629983, 120.5653251)"
3157,彰化市卦山里,"500, Taiwan, 彰化縣彰化市卦山里","(24.0772541, 120.5552528)"
3158,彰化市東興里,"500, Taiwan, 彰化縣彰化市東興里","(24.0759654, 120.5458992)"
3159,彰化市大同里,"500, Taiwan, 彰化縣彰化市大同里","(24.0776806, 120.5426612)"
3160,彰化市永生里,"500, Taiwan, 彰化縣彰化市永生里","(24.0755762, 120.5415819)"
3161,彰化市華陽里,"500, Taiwan, 彰化縣彰化市華陽里","(24.0719023, 120.5552528)"
3162,彰化市華北里,"500, Taiwan, 彰化縣彰化市華北里","(24.0732894, 120.5458992)"
3163,彰化市南瑶里,"500, Taiwan, 彰化縣彰化市南瑤里","(24.0656252, 120.5351057)"
3164,彰化市成功里,"500, Taiwan, 彰化縣彰化市成功里","(24.0692021, 120.5401428)"
3165,彰化市延和里,"500, Taiwan, 彰化縣彰化市延和里","(24.0548251, 120.5538138)"
3166,彰化市南興里,"500, Taiwan, 彰化縣彰化市南興里","(24.0555519, 120.5322273)"
3167,彰化市西安里,"500, Taiwan, 彰化縣彰化市西安里","(24.0738487, 120.5372645)"
3168,彰化市彰安里,"500, Taiwan, 彰化縣彰化市彰安里","(24.0714887, 120.5358253)"
3169,彰化市光南里,"500, Taiwan, 彰化縣彰化市光南里","(24.0709296, 120.5444601)"
3170,彰化市介壽里,"500, Taiwan, 彰化縣彰化市介壽里","(24.069032, 120.5530943)"
3171,彰化市延平里,"500, Taiwan, 彰化縣彰化市延平里","(24.0624637, 120.5494968)"
3172,彰化市建寶里,"500, Taiwan, 彰化縣彰化市建寶里","(24.0673048, 120.5487773)"
3173,彰化市福安里,"500, Taiwan, 彰化縣彰化市福安里","(24.0729001, 120.5415819)"
3174,彰化市安溪里,"500, Taiwan, 彰化縣彰化市安溪里","(24.0699025, 120.5825901)"
3175,彰化市石牌里,"500, Taiwan, 彰化縣彰化市石牌里","(24.0500519, 120.5998528)"
3176,彰化市快官里,"500, Taiwan, 彰化縣彰化市快官里","(24.0648353, 120.6056064)"
3177,彰化市台鳳里,"500, Taiwan, 彰化縣彰化市台鳳里","(24.0731067, 120.5984143)"
3178,彰化市崙平里,"500, Taiwan, 彰化縣彰化市崙平里","(24.0687387, 120.5300685)"
3179,彰化市向陽里,"500, Taiwan, 彰化縣彰化市向陽里","(24.060124, 120.5235917)"
3180,鹿港鎮大有里,"505, Taiwan, 彰化縣鹿港鎮大有里","(24.0541474, 120.4332425)"
3181,鹿港鎮中興里,"505, Taiwan, 彰化縣鹿港鎮中興里","(24.0556344, 120.4348629)"
3182,鹿港鎮洛津里,"505, Taiwan, 彰化縣鹿港鎮洛津里","(24.0567271, 120.4321623)"
3183,鹿港鎮順興里,"505, Taiwan, 彰化縣鹿港鎮順興里","(24.0581648, 120.4332425)"
3184,鹿港鎮頂厝里,"505, Taiwan, 彰化縣鹿港鎮頂厝里","(24.0631467, 120.4487252)"
3185,鹿港鎮東崎里,"505, Taiwan, 彰化縣鹿港鎮東崎里","(24.0577094, 120.4674459)"
3186,鹿港鎮埔崙里,"505, Taiwan, 彰化縣鹿港鎮埔崙里","(24.066298, 120.4343228)"
3187,鹿港鎮東石里,"505, Taiwan, 彰化縣鹿港鎮東石里","(24.0707825, 120.3954282)"
3188,鹿港鎮郭厝里,"505, Taiwan, 彰化縣鹿港鎮郭厝里","(24.0618277, 120.4318022)"
3189,鹿港鎮新宮里,"505, Taiwan, 彰化縣鹿港鎮新宮里","(24.0586962, 120.4292815)"
3190,鹿港鎮玉順里,"505, Taiwan, 彰化縣鹿港鎮玉順里","(24.0611185, 120.4289214)"
3191,鹿港鎮景福里,"505, Taiwan, 彰化縣鹿港鎮景福里","(24.0571213, 120.4364832)"
3192,鹿港鎮泰興里,"505, Taiwan, 彰化縣鹿港鎮泰興里","(24.0514499, 120.4379235)"
3193,鹿港鎮長興里,"505, Taiwan, 彰化縣鹿港鎮長興里","(24.0531629, 120.4346828)"
3194,鹿港鎮龍山里,"505, Taiwan, 彰化縣鹿港鎮龍山里","(24.0498644, 120.435223)"
3195,鹿港鎮興化里,"505, Taiwan, 彰化縣鹿港鎮興化里","(24.0512823, 120.4348629)"
3196,鹿港鎮菜園里,"505, Taiwan, 彰化縣鹿港鎮菜園里","(24.0497165, 120.4336026)"
3197,鹿港鎮街尾里,"505, Taiwan, 彰化縣鹿港鎮街尾里","(24.0471177, 120.4393638)"
3198,鹿港鎮溝墘里,"505, Taiwan, 彰化縣鹿港鎮溝墘里","(24.0766053, 120.478965)"
3199,鹿港鎮永安里,"505, Taiwan, 彰化縣鹿港鎮永安里","(24.0578303, 120.4393638)"
3200,福興鄉三和村,"506, Taiwan, 彰化縣福興鄉三和村","(24.0060227, 120.409835)"
3201,福興鄉麥厝村,"506, Taiwan, 彰化縣福興鄉麥厝村","(24.0138944, 120.3983097)"
3202,福興鄉廈粘村,"506, Taiwan, 彰化縣福興鄉廈粘村","(24.0287112, 120.4040725)"
3203,福興鄉頂粘村,"506, Taiwan, 彰化縣福興鄉頂粘村","(24.0324832, 120.3867834)"
3204,福興鄉福寶村,"506, Taiwan, 彰化縣福興鄉福寶村","(24.0493507, 120.3954282)"
3205,福興鄉二港村,"506, Taiwan, 彰化縣福興鄉二港村","(24.0488837, 120.409835)"
3206,福興鄉福興村,"506, Taiwan, 彰化縣福興鄉福興村","(24.0504639, 120.427121)"
3207,福興鄉福南村,"506, Taiwan, 彰化縣福興鄉福南村","(24.0373059, 120.4199187)"
3208,福興鄉同安村,"506, Taiwan, 彰化縣福興鄉同安村","(24.0318754, 120.4386437)"
3209,福興鄉西勢村,"Fuxing, Fuxing Township, Changhua County, Taiwan 506","(24.0306902, 120.4256805)"
3210,秀水鄉秀水村,"504, Taiwan, 彰化縣秀水鄉秀水村","(24.0346208, 120.5178343)"
3211,秀水鄉安溪村,"504, Taiwan, 彰化縣秀水鄉安溪村","(24.0465904, 120.5120766)"
3212,秀水鄉莊雅村,"504, Taiwan, 彰化縣秀水鄉莊雅村","(24.0311605, 120.5091977)"
3213,秀水鄉金興村,"504, Taiwan, 彰化縣秀水鄉金興村","(24.0195832, 120.5192737)"
3214,秀水鄉陝西村,"504, Taiwan, 彰化縣秀水鄉陝西村","(24.0035226, 120.5192737)"
3215,秀水鄉安東村,"504, Taiwan, 彰化縣秀水鄉安東村","(24.0394303, 120.5020001)"
3216,秀水鄉鶴鳴村,"504, Taiwan, 彰化縣秀水鄉鶴鳴村","(24.0526627, 120.4904831)"
3217,秀水鄉馬興村,"504, Taiwan, 彰化縣秀水鄉馬興村","(24.0678542, 120.5005605)"
3218,秀水鄉義興村,"504, Taiwan, 彰化縣秀水鄉義興村","(24.0687257, 120.4904831)"
3219,秀水鄉福安村,"504, Taiwan, 彰化縣秀水鄉福安村","(24.0365995, 120.4904831)"
3220,秀水鄉埔崙村,"504, Taiwan, 彰化縣秀水鄉埔崙村","(24.0215593, 120.4919227)"
3221,秀水鄉曾厝村,"504, Taiwan, 彰化縣秀水鄉曾厝村","(24.0221067, 120.5077582)"
3222,秀水鄉金陵村,"504, Taiwan, 彰化縣秀水鄉金陵村","(24.0130525, 120.5063187)"
3223,秀水鄉下崙村,"504, Taiwan, 彰化縣秀水鄉下崙村","(24.0019513, 120.5020001)"
3224,花壇鄉花壇村,"503, Taiwan, 彰化縣花壇鄉花壇村","(24.0221721, 120.5379841)"
3225,花壇鄉金墩村,"503, Taiwan, 彰化縣花壇鄉金墩村","(24.0155566, 120.5437406)"
3226,花壇鄉中庄村,"503, Taiwan, 彰化縣花壇鄉中庄村","(24.0120085, 120.5538138)"
3227,花壇鄉劉厝村,"503, Taiwan, 彰化縣花壇鄉劉厝村","(24.0213895, 120.5293488)"
3228,花壇鄉崙雅村,"503, Taiwan, 彰化縣花壇鄉崙雅村","(24.0327269, 120.5264703)"
3229,花壇鄉南口村,"503, Taiwan, 彰化縣花壇鄉南口村","(24.0335091, 120.5351057)"
3230,花壇鄉中口村,"503, Taiwan, 彰化縣花壇鄉中口村","(24.0401251, 120.5293488)"
3231,花壇鄉北口村,"503, Taiwan, 彰化縣花壇鄉北口村","(24.0487862, 120.5264703)"
3232,花壇鄉長沙村,"503, Taiwan, 彰化縣花壇鄉長沙村","(24.0334171, 120.5538138)"
3233,花壇鄉文德村,"503, Taiwan, 彰化縣花壇鄉文德村","(24.0396429, 120.5437406)"
3234,花壇鄉白沙村,"503, Taiwan, 彰化縣花壇鄉白沙村","(24.0503477, 120.5437406)"
3235,花壇鄉岩竹村,"503, Taiwan, 彰化縣花壇鄉岩竹村","(24.0469439, 120.5653251)"
3236,花壇鄉橋頭村,"503, Taiwan, 彰化縣花壇鄉橋頭村","(24.0257793, 120.5581307)"
3237,花壇鄉灣雅村,"503, Taiwan, 彰化縣花壇鄉灣雅村","(24.0171196, 120.5610085)"
3238,花壇鄉灣東村,"503, Taiwan, 彰化縣花壇鄉灣東村","(24.0337115, 120.5768354)"
3239,花壇鄉三春村,"503, Taiwan, 彰化縣花壇鄉三春村","(24.0117676, 120.5610085)"
3240,花壇鄉永春村,"503, Taiwan, 彰化縣花壇鄉永春村","(24.0193116, 120.5753966)"
3241,花壇鄉長春村,"503, Taiwan, 彰化縣花壇鄉長春村","(24.0151291, 120.5883446)"
3242,芬園鄉社口村,"502, Taiwan, 彰化縣芬園鄉社口村","(24.0132762, 120.6271805)"
3243,芬園鄉芬園村,"502, Taiwan, 彰化縣芬園鄉芬園村","(24.0077831, 120.6156748)"
3244,芬園鄉縣庄村,"502, Taiwan, 彰化縣芬園鄉縣庄村","(23.9959624, 120.6329329)"
3245,芬園鄉圳墘村,"502, Taiwan, 彰化縣芬園鄉圳墘村","(23.9860404, 120.6415611)"
3246,芬園鄉溪頭村,"502, Taiwan, 彰化縣芬園鄉溪頭村","(23.9747097, 120.644437)"
3247,芬園鄉進芬村,"502, Taiwan, 彰化縣芬園鄉進芬村","(24.0046192, 120.6300567)"
3248,芬園鄉同安村,"502, Taiwan, 彰化縣芬園鄉同安村","(23.9981045, 120.617113)"
3249,芬園鄉中崙村,"502, Taiwan, 彰化縣芬園鄉中崙村","(23.9807903, 120.6228659)"
3250,芬園鄉大竹村,"502, Taiwan, 彰化縣芬園鄉大竹村","(23.967562, 120.634371)"
3251,芬園鄉楓坑村,"502, Taiwan, 彰化縣芬園鄉楓坑村","(24.0143984, 120.6099215)"
3252,溪湖鎮光平里,"514, Taiwan, 彰化縣溪湖鎮光平里","(23.9630085, 120.4811247)"
3253,溪湖鎮平和里,"514, Taiwan, 彰化縣溪湖鎮平和里","(23.958992, 120.4811247)"
3254,溪湖鎮太平里,"514, Taiwan, 彰化縣溪湖鎮太平里","(23.9631253, 120.4775252)"
3255,溪湖鎮光華里,"514, Taiwan, 彰化縣溪湖鎮光華里","(23.9596209, 120.4782451)"
3256,溪湖鎮東寮里,"514, Taiwan, 彰化縣溪湖鎮東寮里","(23.9705293, 120.4804048)"
3257,溪湖鎮西寮里,"514, Taiwan, 彰化縣溪湖鎮西寮里","(23.9750945, 120.4717657)"
3258,溪湖鎮大突里,"514, Taiwan, 彰化縣溪湖鎮大突里","(23.9623342, 120.4688858)"
3259,溪湖鎮北勢里,"514, Taiwan, 彰化縣溪湖鎮北勢里","(23.9609137, 120.463126)"
3260,溪湖鎮汴頭里,"514, Taiwan, 彰化縣溪湖鎮汴頭里","(23.9493406, 120.4732056)"
3261,溪湖鎮大竹里,"514, Taiwan, 彰化縣溪湖鎮大竹里","(23.9491078, 120.4804048)"
3262,溪湖鎮湖西里,"514, Taiwan, 彰化縣溪湖鎮湖西里","(23.9589109, 120.4753654)"
3263,溪湖鎮田中里,"514, Taiwan, 彰化縣溪湖鎮田中里","(23.952251, 120.4660059)"
3264,溪湖鎮河東里,"514, Taiwan, 彰化縣溪湖鎮河東里","(23.9531116, 120.4559258)"
3265,溪湖鎮中山里,"514, Taiwan, 彰化縣溪湖鎮中山里","(23.9657294, 120.4962417)"
3266,溪湖鎮中竹里,"514, Taiwan, 彰化縣溪湖鎮中竹里","(23.9669122, 120.5091977)"
3267,溪湖鎮東溪里,"514, Taiwan, 彰化縣溪湖鎮東溪里","(23.9568332, 120.5063187)"
3268,溪湖鎮西溪里,"514, Taiwan, 彰化縣溪湖鎮西溪里","(23.9532054, 120.4861639)"
3269,溪湖鎮湖東里,"514, Taiwan, 彰化縣溪湖鎮湖東里","(23.9639157, 120.4861639)"
3270,溪湖鎮頂庄里,"514, Taiwan, 彰化縣溪湖鎮頂庄里","(23.9514787, 120.5063187)"
3271,溪湖鎮忠覺里,"514, Taiwan, 彰化縣溪湖鎮忠覺里","(23.9472213, 120.4890434)"
3272,溪湖鎮湳底里,"514, Taiwan, 彰化縣溪湖鎮湳底里","(23.943447, 120.5063187)"
3273,溪湖鎮大庭里,"514, Taiwan, 彰化縣溪湖鎮大庭里","(23.9480118, 120.4976813)"
3274,溪湖鎮媽厝里,"514, Taiwan, 彰化縣溪湖鎮媽厝里","(23.9336003, 120.4962417)"
3275,溪湖鎮西勢里,"No. 410, Section 1, Zhangshui Road, Xihu Township, Changhua County, Taiwan 514","(23.9290752, 120.4787296)"
3276,溪湖鎮番婆里,"514, Taiwan, 彰化縣溪湖鎮番婆里","(23.9383968, 120.4804048)"
3277,田中鎮香山里,"520, Taiwan, 彰化縣田中鎮香山里","(23.8438082, 120.6070448)"
3278,田中鎮碧峰里,"520, Taiwan, 彰化縣田中鎮碧峰里","(23.8526221, 120.6156748)"
3279,田中鎮東源里,"520, Taiwan, 彰化縣田中鎮東源里","(23.8586026, 120.6127982)"
3280,田中鎮復興里,"520, Taiwan, 彰化縣田中鎮復興里","(23.8652129, 120.6070448)"
3281,田中鎮平和里,"520, Taiwan, 彰化縣田中鎮平和里","(23.876308, 120.6113599)"
3282,田中鎮北路里,"520, Taiwan, 彰化縣田中鎮北路里","(23.8630089, 120.5926603)"
3283,田中鎮西路里,"No. 63, Jianguo Road, Tianzhong Township, Changhua County, Taiwan 520","(23.8629142, 120.5815915)"
3284,田中鎮東路里,"520, Taiwan, 彰化縣田中鎮東路里","(23.8597418, 120.5861867)"
3285,田中鎮南路里,"520, Taiwan, 彰化縣田中鎮南路里","(23.8496296, 120.5926603)"
3286,田中鎮中路里,"520, Taiwan, 彰化縣田中鎮中路里","(23.8561222, 120.5905024)"
3287,田中鎮新庄里,"520, Taiwan, 彰化縣田中鎮新庄里","(23.8543522, 120.5955373)"
3288,田中鎮三安里,"520, Taiwan, 彰化縣田中鎮三安里","(23.8438832, 120.5883446)"
3289,田中鎮大崙里,"520, Taiwan, 彰化縣田中鎮大崙里","(23.8278271, 120.5883446)"
3290,田中鎮沙崙里,"520, Taiwan, 彰化縣田中鎮沙崙里","(23.8463982, 120.5768354)"
3291,田中鎮新民里,"520, Taiwan, 彰化縣田中鎮新民里","(23.8541926, 120.5840288)"
3292,田中鎮梅州里,"520, Taiwan, 彰化縣田中鎮梅州里","(23.8587555, 120.5753966)"
3293,田中鎮三民里,"520, Taiwan, 彰化縣田中鎮三民里","(23.8649709, 120.5653251)"
3294,田中鎮三光里,"520, Taiwan, 彰化縣田中鎮三光里","(23.8772117, 120.5674834)"
3295,大村鄉大村村,"515, Taiwan, 彰化縣大村鄉大村村","(23.9968224, 120.5437406)"
3296,大村鄉茄苳村,"515, Taiwan, 彰化縣大村鄉茄苳村","(24.0061136, 120.5379841)"
3297,大村鄉南勢村,"515, Taiwan, 彰化縣大村鄉南勢村","(23.9865088, 120.5480578)"
3298,大村鄉田洋村,"515, Taiwan, 彰化縣大村鄉田洋村","(23.999346, 120.5322273)"
3299,大村鄉新興村,"515, Taiwan, 彰化縣大村鄉新興村","(23.9739958, 120.5379841)"
3300,大村鄉過溝村,"515, Taiwan, 彰化縣大村鄉過溝村","(23.9916219, 120.5552528)"
3301,大村鄉美港村,"515, Taiwan, 彰化縣大村鄉美港村","(23.9798068, 120.5725191)"
3302,大村鄉平和村,"515, Taiwan, 彰化縣大村鄉平和村","(23.9975155, 120.5710804)"
3303,大村鄉貢旗村,"515, Taiwan, 彰化縣大村鄉貢旗村","(23.9873784, 120.5379841)"
3304,大村鄉加錫村,"515, Taiwan, 彰化縣大村鄉加錫村","(23.9915544, 120.525031)"
3305,大村鄉村上村,"515, Taiwan, 彰化縣大村鄉村上村","(23.9872479, 120.5660445)"
3306,大村鄉大橋村,"515, Taiwan, 彰化縣大村鄉大橋村","(23.9996503, 120.5552528)"
3307,大村鄉大崙村,"515, Taiwan, 彰化縣大村鄉大崙村","(23.9887221, 120.5135161)"
3308,大村鄉擺塘村,"515, Taiwan, 彰化縣大村鄉擺塘村","(23.9839849, 120.5595696)"
3309,大村鄉黃厝村,"515, Taiwan, 彰化縣大村鄉黃厝村","(23.9860889, 120.5926603)"
3310,大村鄉福興村,"515, Taiwan, 彰化縣大村鄉福興村","(23.9937253, 120.5883446)"
3311,埔鹽鄉埔鹽村,"516, Taiwan, 彰化縣埔鹽鄉埔鹽村","(24.0012425, 120.4746455)"
3312,埔鹽鄉埔南村,"516, Taiwan, 彰化縣埔鹽鄉埔南村","(23.9932094, 120.4746455)"
3313,埔鹽鄉廍子村,"516, Taiwan, 彰化縣埔鹽鄉廍子村","(24.0067557, 120.4861639)"
3314,埔鹽鄉出水村,"516, Taiwan, 彰化縣埔鹽鄉出水村","(23.9980935, 120.4890434)"
3315,埔鹽鄉南港村,"516, Taiwan, 彰化縣埔鹽鄉南港村","(23.9871481, 120.4962417)"
3316,埔鹽鄉打廉村,"516, Taiwan, 彰化縣埔鹽鄉打廉村","(23.9768329, 120.5005605)"
3317,埔鹽鄉豐澤村,"516, Taiwan, 彰化縣埔鹽鄉豐澤村","(23.979981, 120.4861639)"
3318,埔鹽鄉崑崙村,"516, Taiwan, 彰化縣埔鹽鄉崑崙村","(23.9872246, 120.4775252)"
3319,埔心鄉瓦中村,"513, Taiwan, 彰化縣埔心鄉瓦中村","(23.952894, 120.5610085)"
3320,埔心鄉瓦南村,"Taiwan, 彰化縣埔心鄉瓦南村","(23.9483683, 120.560289)"
3321,埔心鄉太平村,"513, Taiwan, 彰化縣埔心鄉太平村","(23.9383338, 120.5480578)"
3322,埔心鄉經口村,"513, Taiwan, 彰化縣埔心鄉經口村","(23.946126, 120.5552528)"
3323,埔心鄉大華村,"513, Taiwan, 彰化縣埔心鄉大華村","(23.9418766, 120.5379841)"
3324,埔心鄉仁里村,"513, Taiwan, 彰化縣埔心鄉仁里村","(23.9338466, 120.5379841)"
3325,埔心鄉舊舘村,"513, Taiwan, 彰化縣埔心鄉舊舘村","(23.9540792, 120.525031)"
3326,埔心鄉南舘村,"513, Taiwan, 彰化縣埔心鄉南舘村","(23.9423481, 120.5235917)"
3327,埔心鄉新舘村,"513, Taiwan, 彰化縣埔心鄉新舘村","(23.941089, 120.5293488)"
3328,埔心鄉羅厝村,"513, Taiwan, 彰化縣埔心鄉羅厝村","(23.9368343, 120.5120766)"
3329,埔心鄉芎蕉村,"513, Taiwan, 彰化縣埔心鄉芎蕉村","(23.954315, 120.5178343)"
3330,埔心鄉二重村,"513, Taiwan, 彰化縣埔心鄉二重村","(23.9678567, 120.5293488)"
3331,埔心鄉梧鳳村,"513, Taiwan, 彰化縣埔心鄉梧鳳村","(23.9703768, 120.5178343)"
3332,埔心鄉埤霞村,"513, Taiwan, 彰化縣埔心鄉埤霞村","(23.9725799, 120.5322273)"
